Año,Identificador de la Orden,Rama de la Entidad,Sector de la Entidad,Entidad,Solicitante,Fecha,Proveedor,Estado,Solicitud,Items,Total,Agregacion,Ciudad,Entidad Obigada,EsPostconflicto,NIT Proveedor,Actividad Economica Proveedor,ID Entidad,NIT PROV NORM,FECHA NORM,URL COMPRA,,,,,,,,,Orden de Compra,Item
"2021,73879,Ejecutiva,Función Pública,ALCALDIA MANIZALES,Diana Constanza Mejia Grand,08/06/2021 00:00,PANORAMMA DISENO DE SOLUCIONES SAS,Emitida,131204,Ver Conjunto detalle,""140,073.00"",Emergencia COVID19,Manizales,No obligada,No Definido,900671732,1811,706,900671732,06/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73879,,,,,,,,,,"
"2021,73939,Ejecutiva,Trabajo,SENA  Regional Boyaca,Yefer Hernan Robles Avila,08/08/2021 00:00,INVERSIONES LA VICTORIA INTERNATIONAL LTDA,Emitida,131297,Ver Conjunto detalle,""10,800,300.00"",Emergencia COVID19,TUNJA,Obligada,No Definido,900167135,4645,399,900167135,08/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73939,,,,,,,,,,"
"2021,73940,Ejecutiva,Hacienda y Crédito Público,SECRETARIA DISTRITAL DE HACIENDA,Ruth Alvear Triana,08/08/2021 00:00,BON SANTE SAS  BON SANTE SAS,Emitida,131095,Ver Conjunto detalle,""220,414.00"",Emergencia COVID19,Bogotá D.C.,No obligada,No Definido,,,21,Sin identificación,08/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73940,,,,,,,,,,"
"2021,73941,Ejecutiva,Hacienda y Crédito Público,SECRETARIA DISTRITAL DE HACIENDA,Leonor Jeannette Salamanca Daza,08/08/2021 00:00,AESTHETICS  MEDICAL SOLUTIONS SAS,Emitida,131187,Ver Conjunto detalle,""48,734,440.00"",Emergencia COVID19,Bogota,No obligada,No Definido,9005671308,4773,21,900567130,08/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73941,,,,,,,,,,"
"2021,73942,Ejecutiva,Hacienda y Crédito Público,SECRETARIA DISTRITAL DE HACIENDA,Leonor Jeannette Salamanca Daza,08/08/2021 00:00,BON SANTE SAS  BON SANTE SAS,Emitida,131189,Ver Conjunto detalle,""1,332,469.00"",Emergencia COVID19,Bogota,No obligada,No Definido,,,21,Sin identificación,08/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73942,,,,,,,,,,"
"2021,73943,Ejecutiva,Hacienda y Crédito Público,SECRETARIA DISTRITAL DE HACIENDA,Leonor Jeannette Salamanca Daza,08/08/2021 00:00,MAS EMPRESARIAL SM SAS,Emitida,131191,Ver Conjunto detalle,""10,746,888.00"",Emergencia COVID19,Bogota,No obligada,No Definido,900401081,2221,21,900401081,08/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73943,,,,,,,,,,"
"2021,73955,Ejecutiva,Defensa Nacional,METIB,Jovani Alexander Benavides Quimbayo,08/09/2021 00:00,DISTRIBUIDORA COMERCIAL VA SAS,Cancelada,131367,Ver Conjunto detalle,""101,840,560.00"",Emergencia COVID19,Ibague,Obligada,No Definido,900423773,5626,361,900423773,09/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73955,,,,,,,,,,"
"2021,73960,Ejecutiva,Defensa Nacional,DIRECCION DE SANIDAD EJERCITO DISPENSARIO MEDICO YOPAL,Alvaro De Jesus Gomez Lopez,08/09/2021 00:00,INVERSIONES LA VICTORIA INTERNATIONAL LTDA,Emitida,131347,Ver Conjunto detalle,""5,146,930.00"",Emergencia COVID19,YOPAL,,No Definido,900167135,4645,2370,900167135,09/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73960,,,,,,,,,,"
"2021,73969,Ejecutiva,Defensa Nacional,BACAIM4,Diana Paola Robayo Moreno,08/09/2021 00:00,BON SANTE SAS  BON SANTE SAS,Emitida,131230,Ver Conjunto detalle,""359,800.00"",Emergencia COVID19,tumaco-nariño,Obligada,No Definido,,,411,Sin identificación,09/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73969,,,,,,,,,,"
"2021,73970,Ejecutiva,Defensa Nacional,BACAIM4,Diana Paola Robayo Moreno,08/09/2021 00:00,CONFEKAREN SAS,Emitida,131234,Ver Conjunto detalle,""3,200,000.00"",Emergencia COVID19,tumaco-nariño,Obligada,No Definido,9012530835,1392,411,901253083,09/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73970,,,,,,,,,,"
"2021,73971,Ejecutiva,Defensa Nacional,BACAIM4,Diana Paola Robayo Moreno,08/09/2021 00:00,LIMINA SOLUCIONES INTEGRALES SAS,Emitida,131236,Ver Conjunto detalle,""1,160,000.00"",Emergencia COVID19,tumaco-nariño,Obligada,No Definido,8300611018,1410,411,830061101,09/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73971,,,,,,,,,,"
"2021,73972,Ejecutiva,Defensa Nacional,BACAIM4,Diana Paola Robayo Moreno,08/09/2021 00:00,GLOBALK COLOMBIA SAS,Emitida,131241,Ver Conjunto detalle,""32,300,408.00"",Emergencia COVID19,tumaco-nariño,Obligada,No Definido,8300518551,4690,411,830051855,09/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73972,,,,,,,,,,"
"2021,73973,Ejecutiva,Defensa Nacional,BACAIM4,Diana Paola Robayo Moreno,08/09/2021 00:00,GRUPO EMPRESARIAL DE ASESORÍAS Y SERVICIOS DE COLOMBIA SAS,Emitida,131243,Ver Conjunto detalle,""10,320,000.00"",Emergencia COVID19,tumaco-nariño,Obligada,No Definido,9009069703,8121,411,900906970,09/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73973,,,,,,,,,,"
"2021,73975,Ejecutiva,Defensa Nacional,DGSM  JEFATURA SALUD FUERZA AÉREA COLOMBIANA,Hasbleidy Giseth Almansa Herrera,08/09/2021 00:00,BON SANTE SAS  BON SANTE SAS,Emitida,131349,Ver Conjunto detalle,""122,883,790.00"",Emergencia COVID19,BOGOTA,Obligada,No Definido,,,79,Sin identificación,09/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73975,,,,,,,,,,"
"2021,73976,Ejecutiva,Defensa Nacional,DGSM  JEFATURA SALUD FUERZA AÉREA COLOMBIANA,Hasbleidy Giseth Almansa Herrera,08/09/2021 00:00,AESTHETICS  MEDICAL SOLUTIONS SAS,Emitida,131352,Ver Conjunto detalle,""21,240,000.00"",Emergencia COVID19,BOGOTA,Obligada,No Definido,9005671308,4773,79,900567130,09/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73976,,,,,,,,,,"
"2021,74002,Ejecutiva,Función Pública,GOBERNACION DE SUCRE,Hector Olimpo Espinosa Oliver,08/09/2021 00:00,BON SANTE SAS  BON SANTE SAS,Emitida,131430,Ver Conjunto detalle,""26,013,852.00"",Emergencia COVID19,SINCELEJO,No obligada,No Definido,,,733,Sin identificación,09/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/74002,,,,,,,,,,"
"2021,72808,Ejecutiva,Función Pública,ALCALDIA MANIZALES,Luz Marina Giraldo Cristancho,07/21/2021 12:00:00 AM,AVANZA INTERNACIONAL GROUP,Emitida,129557,Ver Conjunto detalle,""4,475,000.00"",Emergencia COVID19,MANIZALES,No obligada,No Definido,900505419,4774,706,900505419,21/07/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/72808,,,,,,,,,,"
"2020,48629,Ejecutiva,Minas y Energía,AGENCIA NACIONAL DE MINERÍA  ANM,Bibiana Marcela Gutierrez Castro,05/15/2020 12:00:00 AM,Sumimas SAS,Cerrada,83550,Ver Conjunto detalle,""4,978,601.00"",Emergencia COVID19,Bogota,Obligada,No Definido,8300013381,4649,272,830001338,15/05/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/48629,,,,,,,,,,"
"2020,48648,Ejecutiva,Minas y Energía,AGENCIA NACIONAL DE MINERÍA  ANM,Bibiana Marcela Gutierrez Castro,05/16/2020 12:00:00 AM,GRUPO CRUZ VELASQUEZ,Cerrada,83560,Ver Conjunto detalle,""123,750,000.00"",Emergencia COVID19,Bogota,Obligada,No Definido,9012431790,1399,272,901243179,16/05/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/48648,,,,,,,,,,"
"2021,74010,Ejecutiva,Ambiente y Desarrollo Sostenible,UAE  AUTORIDAD NACIONAL DE LICENCIAS AMBIENTALES,Juan Miguel Morales Fernandez,08/09/2021 00:00,BON SANTE SAS  BON SANTE SAS,Emitida,131426,Ver Conjunto detalle,""974,211.00"",Emergencia COVID19,BOGOTA,Obligada,No Definido,,,88,Sin identificación,09/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/74010,,,,,,,,,,"
"2021,71829,Ejecutiva,Hacienda y Crédito Público,DIRECCION DE IMPUESTOS Y ADUANAS NACIONALES,Camilo Octavio Contreras Bravo,07/01/2021 00:00,MEMCO SAS,Emitida,127838,Ver Conjunto detalle,""180,105,000.00"",Emergencia COVID19,Bogotá D.C,Obligada,No Definido,9004543221,3313,17,900454322,01/07/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/71829,,,,,,,,,,"
"2021,73613,Ejecutiva,No Aplica,ALCALDÍA MUNICIPAL DE CHIPAQUE CUNDINAMARCA,Camilo Albeiro Pardo Muñoz,08/02/2021 00:00,COLSUBSIDIO CAJA COLOMBIANA DE SUBSIDIO FAMILIAR COLSUBSIDIO,Emitida,130812,Ver Conjunto detalle,""5,043,267.00"",Emergencia COVID19,Chipaque,No obligada,No Definido,,,1204,Sin identificación,02/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73613,,,,,,,,,,"
"2021,73614,Ejecutiva,Función Pública,CUNDINAMARCA  ALCALDIA MUNICIPAL DE CHIA,Luis Carlos Segura Rubiano,08/02/2021 00:00,COLSUBSIDIO CAJA COLOMBIANA DE SUBSIDIO FAMILIAR COLSUBSIDIO,Emitida,130805,Ver Conjunto detalle,""58,937,933.00"",Emergencia COVID19,Chia,No obligada,No Definido,,,215,Sin identificación,02/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/73614,,,,,,,,,,"
"2021,72821,Ejecutiva,Trabajo,SENA  Regional Boyaca,Rosa Edith Parra Leon,07/21/2021 12:00:00 AM,PANORAMMA DISENO DE SOLUCIONES SAS,Emitida,129395,Ver Conjunto detalle,""4,064,972.00"",Emergencia COVID19,TUNJA,Obligada,No Definido,900671732,1811,399,900671732,21/07/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/72821,,,,,,,,,,"
"2021,74012,Ejecutiva,Ambiente y Desarrollo Sostenible,UAE  AUTORIDAD NACIONAL DE LICENCIAS AMBIENTALES,Juan Miguel Morales Fernandez,08/09/2021 00:00,BON SANTE SAS  BON SANTE SAS,Emitida,131433,Ver Conjunto detalle,""104,950.00"",Emergencia COVID19,BOGOTA,Obligada,No Definido,,,88,Sin identificación,09/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/74012,,,,,,,,,,"
"2021,74019,Judicial,Justicia y del Derecho,RAMA JUDICIAL DIRECCION SECCIONAL DE ADMINISTRACION JUDICIAL DE SANTA MARTA,Kelly Maria Sanjuan Coronado,08/09/2021 00:00,BON SANTE SAS  BON SANTE SAS,Emitida,131452,Ver Conjunto detalle,""5,362,500.00"",Emergencia COVID19,Santa Marta,Obligada,No Definido,,,1272,Sin identificación,09/08/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/74019,,,,,,,,,,"
"2021,72873,Ejecutiva,Función Pública,SANTANDER  MUNICIPIO DE FLORIDABLANCA,Cynthia Viviana Martinez Cornejo,07/22/2021 12:00:00 AM,PANORAMMA DISENO DE SOLUCIONES SAS,Emitida,129522,Ver Conjunto detalle,""2,898,509.00"",Emergencia COVID19,Bucaramanga (Santander),No obligada,No Definido,900671732,1811,622,900671732,22/07/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/72873,,,,,,,,,,"
"2021,72874,Ejecutiva,Función Pública,SANTANDER  MUNICIPIO DE FLORIDABLANCA,Cynthia Viviana Martinez Cornejo,07/22/2021 12:00:00 AM,BACET GROUP SAS,Emitida,129539,Ver Conjunto detalle,""12,983,219.00"",Emergencia COVID19,Bucaramanga (Santander),No obligada,No Definido,9008690495,1521,622,900869049,22/07/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/72874,,,,,,,,,,"
"2021,72875,Ejecutiva,Función Pública,SANTANDER  MUNICIPIO DE FLORIDABLANCA,Cynthia Viviana Martinez Cornejo,07/22/2021 12:00:00 AM,MAS EMPRESARIAL SM SAS,Emitida,129560,Ver Conjunto detalle,""41,930,413.00"",Emergencia COVID19,Bucaramanga (Santander),No obligada,No Definido,900401081,2221,622,900401081,22/07/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/72875,,,,,,,,,,"
"2021,72927,Ejecutiva,Defensa Nacional,MEBUC,Harrinson Manjarres Diaz,07/22/2021 12:00:00 AM,SARAO EVENTOS SAS,Emitida,129588,Ver Conjunto detalle,""58,063,500.00"",Emergencia COVID19,FLORIDABLANCA,Obligada,No Definido,900992742,4690,430,900992742,22/07/2021,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/72927,,,,,,,,,,"
"2020,56768,Ejecutiva,Trabajo,SERVICIO NACIONAL DE APRENDIZAJE  SEDE CALLE 57,ilson Javier Rojas Moreno,10/20/2020 12:00:00 AM,Exito Industrias SAS,Cerrada,100902,Ver Conjunto detalle,""2,451,500.00"",Emergencia COVID19,BOGOTA,Obligada,No Definido,9007444089,1410,57,900744408,20/10/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/56768,,,,,,,,,,"
"2020,47673,Ejecutiva,Defensa Nacional,CASANARE  DEPARTAMENTO DE POLICIA,Diego Armando Buitrago Nuñez,04/28/2020 12:00:00 AM,JM GRUPO EMPRESARIAL SAS,Cerrada,81818,Ver Conjunto detalle,""1,080,000.00"",Emergencia COVID19,YOPAL,Obligada,No Definido,900353659,8230,382,900353659,28/04/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/47673,,,,,,,,,,"
"2020,47718,Ejecutiva,Justicia y del Derecho,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE PEREIRA,Alejandro Moreno Castaño,04/28/2020 12:00:00 AM,PMI PROYECTOS MONTAJES E INGENIERIA,Cerrada,81872,Ver Conjunto detalle,""3,570,190.00"",Emergencia COVID19,PEREIRA,Obligada,No Definido,900704052,7110,702,900704052,28/04/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/47718,,,,,,,,,,"
"2020,47720,Ejecutiva,Justicia y del Derecho,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE PEREIRA,Alejandro Moreno Castaño,04/28/2020 12:00:00 AM,CACHUCHAS Y CAMISETAS GOOD ILL SAS,Cerrada,81880,Ver Conjunto detalle,""844,000.00"",Emergencia COVID19,PEREIRA,Obligada,No Definido,8301376450,1410,702,830137645,28/04/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/47720,,,,,,,,,,"
"2020,48029,Ejecutiva,Justicia y del Derecho,INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO DE FUSAGASUGA,Ciro Alfonso Barbosa Alejo,05/05/2020 00:00,Fabian Perez,Cerrada,82421,Ver Conjunto detalle,""5,096,700.00"",Emergencia COVID19,FUSAGASUGA,Obligada,No Definido,80736955,4645,809,80736955,05/05/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/48029,,,,,,,,,,"
"2020,48322,Judicial,Justicia y del Derecho,ADMINISTRACION JUDICIAL SECCIONAL CALI,Adriana Fernanda Mogollón Jiménez,05/11/2020 00:00,AESTHETICS  MEDICAL SOLUTIONS SAS,Cerrada,83067,Ver Conjunto detalle,""32,520,000.00"",Emergencia COVID19,Cali,Obligada,No Definido,9005671308,4773,1259,900567130,11/05/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/48322,,,,,,,,,,"
"2020,48656,Judicial,Justicia y del Derecho,ADMINISTRACION JUDICIAL SECCIONAL CALI,Adriana Fernanda Mogollón Jiménez,05/18/2020 12:00:00 AM,AESTHETICS  MEDICAL SOLUTIONS SAS,Cerrada,83856,Ver Conjunto detalle,""15,800,400.00"",Emergencia COVID19,Cali,Obligada,No Definido,9005671308,4773,1259,900567130,18/05/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/48656,,,,,,,,,,"
"2020,48745,Judicial,Justicia y del Derecho,RAMA JUDICIAL DIRECCION SECCIONAL DE ADMINISTRACION JUDICIAL SANTANDER,Nohora Elena Rueda Diaz,05/19/2020 12:00:00 AM,OFIBEST SAS,Cerrada,83988,Ver Conjunto detalle,""9,318,300.00"",Emergencia COVID19,Bucaramanga,Obligada,No Definido,9003501337,3290,1248,900350133,19/05/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/48745,,,,,,,,,,"
"2020,49167,Judicial,Justicia y del Derecho,ADMINISTRACION JUDICIAL SECCIONAL CALI,Adriana Fernanda Mogollón Jiménez,05/26/2020 12:00:00 AM,Sumimas SAS,Cerrada,85087,Ver Conjunto detalle,""72,123,640.00"",Emergencia COVID19,Cali,Obligada,No Definido,8300013381,4649,1259,830001338,26/05/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/49167,,,,,,,,,,"
"2020,49199,Organismos autónomo o independientes,Justicia y del Derecho,INPECCOLONIA AGRICOLA DE MINIMA SEGURIDAD,Sandra milena DImate Nuñez,05/26/2020 12:00:00 AM,PMI PROYECTOS MONTAJES E INGENIERIA,Cerrada,85300,Ver Conjunto detalle,""3,129,800.00"",Emergencia COVID19,ACACIAS,Obligada,No Definido,900704052,7110,1210,900704052,26/05/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/49199,,,,,,,,,,"
"2020,49216,Judicial,Justicia y del Derecho,RAMA JUDICIAL DIRECCION SECCIONAL DE ADMINISTRACION JUDICIAL SANTANDER,Nohora Elena Rueda Diaz,05/27/2020 12:00:00 AM,INDUHOTEL SAS,Cerrada,85285,Ver Conjunto detalle,""278,000.00"",Emergencia COVID19,Bucaramanga,Obligada,No Definido,900300970,5511,1248,900300970,27/05/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/49216,,,,,,,,,,"
"2020,49308,Organismos autónomo o independientes,Justicia y del Derecho,INPECCOLONIA AGRICOLA DE MINIMA SEGURIDAD,Sandra milena DImate Nuñez,05/28/2020 12:00:00 AM,DIGILED TECHNOLOGY SAS,Cerrada,85377,Ver Conjunto detalle,""4,909,800.00"",Emergencia COVID19,ACACIAS,Obligada,No Definido,901104771,4669,1210,901104771,28/05/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/49308,,,,,,,,,,"
"2020,49313,Organismos autónomo o independientes,Justicia y del Derecho,INPECCOLONIA AGRICOLA DE MINIMA SEGURIDAD,Sandra milena DImate Nuñez,05/28/2020 12:00:00 AM,Ofibest SAS,Cerrada,85443,Ver Conjunto detalle,""4,431,000.00"",Emergencia COVID19,ACACIAS,Obligada,No Definido,9003501337,4761,1210,900350133,28/05/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/49313,,,,,,,,,,"
"2020,49489,Ejecutiva,Justicia y del Derecho,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE PEREIRA,Alejandro Moreno Castaño,05/29/2020 12:00:00 AM,COLCREATIVA SAS,Cerrada,85708,Ver Conjunto detalle,""619,000.00"",Emergencia COVID19,PEREIRA,Obligada,No Definido,9002363200,4290,702,900236320,29/05/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/49489,,,,,,,,,,"
"2020,49693,Judicial,Justicia y del Derecho,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD CARCELARIO DE PITALITO  INPEC,Anibal Viloria Meza,06/02/2020 00:00,SumimasSAS,Cerrada,86129,Ver Conjunto detalle,""5,060,001.00"",Emergencia COVID19,Pitalito,Obligada,No Definido,830001338,4649,1627,830001338,02/06/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/49693,,,,,,,,,,"
"2020,49835,Ejecutiva,Justicia y del Derecho,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE PEREIRA,Alejandro Moreno Castaño,06/03/2020 00:00,PMI PROYECTOS MONTAJES E INGENIERIA,Cerrada,86630,Ver Conjunto detalle,""270,080.00"",Emergencia COVID19,PEREIRA,Obligada,No Definido,900704052,7110,702,900704052,03/06/2020,https://www.colombiacompra.gov.co/tienda-virtual-del-estado-colombiano/ordenes-compra/49835,,,,,,,,,,"
